Comment,Number
"Ohhh, quand j' ai vu que s'etait la semaine ""vidéo"" ❤❤❤ ma journée a était refaite. Rien que de cliquer sur la miniature m'a rendu heureuse. Merci merci merci pour ses vidéos. ❤",2
J’attent plus tes vidéos que eux de gros youtubeurs,5
Deadpool et wolverine stp,5
Aaaaaah celui là il était vraiment biiiiiiieng,1
J adorer 😊,5
Javais pas souvenir que Peur etait Jojo Bernard,1
"Franchement je ne m'en lasserai jamais... c'est trop bon. Je me demandais quelle marge d'amélioration, il te restait... R",5
🙏,5
Pour le prochain film spiderman across the spiderverse serait trop bien,3
Ce film est encore pire que buzz l'éclair,1
Quel plaisir surtout le moment kaaris j'étais en larmes,5
Le film Trap sa setait bien,3
Quand tu te rends compte du niveau intelectuel des autres. Fini l'anxiete de vouloir plaire aux autres.,3
"Comme d'habitude juste génial, un peu moment de divertissement un grand merci Math, j'ai hâte au prochain!",5
Oui oui oui merciii😂😂❤quel bonheur !,5
Le hobbit: là désolation de smaug stp,4
Fais Élémentaire s’il te plaît j’avais une petite lueur d’espoir avant Wonka et elle est revenu grâce à cette parodie de Vice-versa 2 (incroyable comme toujours),5
Pitié deadpool 3😭,1
Ce mec est un génie!,5
Fais le dernier Twilight ! On l'attend tous !,5
Toy story 14 ?!?!!?,3
Incroyable,5
ahhhhhhhhhhhhhhhh enfinnn,1
Hé une balle pour....Arielle Dombasle🤣😂,1
Anxiété je l’a déteste au plus au point !,1
qui pour un MSF le film fnaf ?,1
Un épisode sur dune ça serai sympa,5
Le chasseur et la reine des glaces stp,5
Le prochain film que tu pourrais faire ça serait bien que tu fasses Sonic 2 comme vice versa 2 que j'attendais là aussi j'avoue à peine ta vidéo  sortie j'ai directement sauter la notif c'est vrai que ça manquait ces temps-ci,3
mon reve que  tu nous fasse un petit cars,5
Comme film j'aimerai beaucoup voir Cars et Dragon 2,5
"un autre des meilleur pixar stp ""Cars""",5
J'aimerai bien un MSF sur Sonic 2,4
"3:47 alors les enchaînements, j'ai commencé a rien comprendre mais le caca ma eu 😂",3
"Tu sais faire des parodies,",3
que je trouve personnellement très réussies.,5
"Celle-ci ne fait que confirmer mes dires héhé, n'arrêtes cependant pas de créer d'autres formats,",3
*à ta guise* ! c'est comme ça que c'est bon!,5
Le projet Blair witch,4
Fais le dernier Twilight pour reprendre la souille dans ces films je t'en supplie 😂,5
( Merci pour les plus de 100 liké c'est génial,5
Aaaah je viens de le voir en plus ça tombe hyper bien =D! Contente de voir que tu continues les parodies malgré tout <3!,5
J’aimerai tellement voir élémentaire aussi juste pour voir quel bel flaque tu ferais !,5
math math math quant casera tu de me faire rire jais failli m étouffer pendant ta video,3
Jean Claude Vandamme est de retour au générique 🔥🔥🔥🔥🔥,3
C'est génial 👍👍👍👍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🤣🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😉😉😉😉😉😉😉,5
Pas de nostalgie le meilleur perso du film 😂 mais je trouve pas que ses émotions de base faisaient d’elle un « bébé »😢,3
Excellente vidéo tout le monde ❤,5
L'épisode que j'attendais depuis un moment et le rire était bien présent. Merci pour ces moments,4
The fall guy ou mad max ou furiosa ou deadpool 3,3
Je voudrais voir Mad Max. (Je sens qu'on va se marrer 😅),3
"Ou alors, comme le 4 sort bientôt un captain america serait pas mal",3
t incrr❤ t parodies c les meilleurs🤣,5
après ça je veux trop de voir faire fight club. Avec la double personalité ça peut-être ultra cool,3
👍👌👏 !!!!,5
En vrai j'aimerai bien que tu fasses Jurassic Park 2 : Le monde perdu :D,5
Par contre....OÙ EST PASSÉ SUPER NORDVPN ?!??!,3
Je serais partant sur un film avec jason statham ou brad pitt ou snatch ou expendables ou en eaux troubles ou alors blitz ou parker ou homefront,3
Lets goo,5
MATH qui parodie Le Comte de Monte-Cristo ça serait drôle,3
Et super vidéo comme tjs ❤,5
Quelqu'un peut m'expliquer ou Fred s'en va avec sa chaîne entièrement dédiée à Anal Trump ??,1
Incroyable,5
Il était bien le 1 ? C'est une nouvelle.,3
Les animaux fantastiques 3 histoire de rendre Newt Scamander encore plus bizarre 😅,5
Pourquoi pas Tron ou Star Trek ( 2009) 😂 ce serait incroyable 😂,1
Il faut finir la saga Twilight,4
"A quand un épisode sur CARS (meilleur PIXAR) ? (je pense pas au prochain sinon ça fait 2 PIXAR d'affilé mais bon, pourquoi pas ?)",5
0:57 Toy story 14 😂😂,1
J’ai l’impression que ce film t’as beaucoup énervé…,5
Enfin vice versa 2😂,5
Je veux le dernier twilight.,5
Stpppp,3
Twilight chapitre 4 part 2 !🙏,5
Deadpool 3,4
Alors la juste après une semaine de cours bien fatigante c'est parfait le timing 💗👌,5
J'ai explosé de rire à moultes reprises,1
J'ai adoré Buzz l'éclair. Je comprends pas pourquoi on l'a trouvé nul,5
Twilight 5 stp sa serait génial 😂,5
Une vidéo de math et de yuka dans la même heure quel journée exceptionnelle,5
Il faut Deadpool 3 😂,3
Super vidéo math !! Il nous faut DEADPOOL & WOLVERINE Évidemment,5
math je t'aime,3
tous simplement,5
Pas besoin de voir le film,4
*OUAAAAAAAAAAAAAAAAAIS !!!!!!!!!!!!!!! UNE VIDÉO DE MATH SE FAIT DES FILMS SÛRS VICE-VERSA 2 OUAIS ILY A TELLEMENT DE MATIÈRE À SOUILLAGE ET S’ACHANT QUE LA DERNIÈRE FOIS QUE T’AS FAIT UN MSF SUR VICE-VERSA C’ÉTAIT MASTERCLASS VOILÀ QUOI WHOOOOOOO HOO HOO HOO !!!!!!!!!!!!!!!!!*,1
"""Avoir tes premières règles par le nez"" - excellent",5
"Les gars, anxiété à la voix de lucy dans cyberpunk edgerunner",2
Fait Deadpool 3,4
mes émotions aussi me dégagent mes souvenirs génants et tout.... ET LES FONT REVENIR QUAND J'EN AI PAS BESOIN,5
Fait plus de vidéo pelo,2
Je savais que tu allais faire un msf sur Vice-Versa 2 dès que je l’ai vu ❤,2
Pourquoi la crête va si bien à Math,3
😂😂😂😂,5
c'était long pour l'avoir cet épisode mais il est masterclass,5
Ouiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii je dis c’est La joie qui parle,5
Rien que le titre ptdrr,5
et deadpool 3,4
Captain America ça serait génial en vrai 🥲,5
Génial😂❤,5
"Ouf, j'arrive à temps chez moi pour découvrir ta nouvelle vidéo, c'est cool-top😂😂😂",5
Il faut que cette épisode soit God Tier sinon je comprends pas,3
Singerie l'épisode ❤,4
Le tchip de dégoût...😂 incroyable,5
Bientôt vice versa 3 la crise de la quarantaine.,5
"Pour le prochain MSF,  je propose The Flash.",4
Salut math j adore ton travail passe une bonne soirée,5
"Je suis partargé. Vu comme Math est un bon souilleur, ça risque pas de me gâcher Vice-Versa 2 que j'ai adoré ? Bon, vu comme il est drôle, on va prendre le risque !",1
"Il n’y a que moi, quand je vais voir un film au cinéma, j’espère toujours que Maths en fasse un MSF 😊",1
Sinon incroyable vidéo comme toujours 😁,5
Une suite est vraiment nécessaire je trouvais je ne suis pas d'accord sur ce point justement c'est le seul pixar qui mérite une trilogie a sa franchise pour développer la vie d'une adolescence jusqu'à grandir,4
1:26 oh dégoût qui tchip 💀💀😂,1
enfin la parodie que j'attendais !!,5
J'ai agressé la notification 😂❤,1
J'attendais tellement cette vidéo car déjà j'aime ton contenu et je te suis depuis longtemps et en plus ta vidéo sur le premier m'avait fait rire et en plus pour moi en plus d'être le meilleur le 2 montre à quel point pourquoi c'est un de mes pixar préféré qui renouvelle sa franchise pour trois ou quatre suite comparé aux autres disney avec que des princes princesse et méchants,5
Fait Justice League pour le prochain MSF stp,4
"Pour le prochain MSF, je demande John Wick 2, Dragonball Evolution ou même Memento ❤",3
JE VEUX DU CHOCOLAT DE FIN DE VIDEOS !!!!!,5
"Alors déjà premièrement,j'ai lu ""direction l'Asie"".",2
"Ensuite, j'attendais la vidéo vrm ❤",3
In-cr-oi-ya-ble ✨💖,3
T'es hilarant 💖,5
Puis t'es super doué 💗,5
Salut math je me demande si tu ne peux pas me prendre comme tager pour mon tage de 3ème pS je sais bien faire le café je suis rigolo donc s'il te plaît dis-moi comment je peux te contacter,3
OUIII MERCI MATH !!,5
Let's go il est là 🎉🎉🎉,5
570 likes en 2mn,5
"Enfin le vendredi, enfin une vidéo de Math 👀",5
"Please, fais-nous Across the Spider-verse",5
Enfin,5
Il a refait ma journée,3
Oh les feuilles avec tt les projets 😂😂,5
Toujours aussi marrant comme d'habitude 😂❤,5
"Il y a pas à être aussi tôt sur une vidéo de Math comme ça mais bon je sens que c'est déjà un Banger comme dab , bon visionnage 🎉❤",3
QUOIII MATH QUI PARODIE? Génial.,3
Comment bien commencer le we ? Avoir une notif de Math😌,3
Ok la je vais me régaler un msf sur un film vraiment cool,5
Je veux trop Spider-Man : Across the spider-verse,2
"Youppie, mes chocolats ? 🇧🇪🙏",2
Je le savais ! Je l ai regardé dès qu il est sortis sur disney+ :) force à toi math ! Que la souille s'abate comme la foudre,5
Enfin 😂😂😂😂,5
A quand la prochaine video fait reel,3
Omg parce que l’anxiété nous rends fouuu. Merci d’avoir traité le meilleur Disney (pixar) de l’année 2024,1
Le retour 💪,5
Math is back je suis le premier tu peux m’ épingler,1
Il a raison il sont nul les film maintenant,1
Bonne vidéo a tous 😊,5
Je ne l'ai pas encore vue au cinéma mais j'ai hâte de voir ce que tu en pense 😁,3
Pour une fois je suis premiere🥹,5
Enfin on l'attendais !🔥,5
"Le premier qui met ""deuxième"" je vous jure...",5
Qui a sauter sur la notif?🙋‍♀️🙋‍♂️,1
Vous pensiez tout de même pas que j’allais complètement arrêter les parodies ? J’ai toujours un tour dans ma botte.,1
N’hésitez pas à me dire si vous voulez voir un film en particulier d’ailleurs !,5
"Et si vous n’avez pas encore essayer NordVPN, c’est par ici : https://nordvpn.com/math (satisfait ou remboursé pendant les 30 premiers jours).",3
Ça me fume ya au moins 10 personnes qui écrivent first a chaque fois,1
Cc ça fait longtemps !! Tu es génial 👍,5
"Vice versa 2 on l'attendais, vivement le Vice Versa 3!!!",3
De puis le temps que je l'attendais,3
"Tiens tiens tiens, mais qui voilà !",3
On l'attendait ❤,3
J’ai sauté sur la notif bravo ❤❤❤,1
"Les gens y'a pas photo, j'ai sauté sur la notif de la vidéo chui désolé...😂",1
Ça a l'air sympa,5
Salut sa va math !,5
❤j’ai soute sur la notife,1
Let’s go ! Un msf sur Vice Versa 2 !,5
Trop cool de voir un épisode sur ça ! Merci bcp à toi !!!! ❤❤❤,5
Tu me refais mon vendredi. Quel bonheur d’avoir une vidéo !,1
First ( désolé),3
Enfinnn!! hehehe,5
Toujours incroyablement géniales tes vidéos 🤙,5
Aaaaahhhhh… aaaboneeeezz vous ça fait du bieeeeeeennnnn… ✨,1
OUI ! JE L'ATTENDAIS ! BONNE VIDÉO À TOUS ! ❤,3
"J'ai vu la notif je me suis dit ""oh non la dinguerie"" 💀🤣🤣",1
euh je suis first okay <3 MATT JE TAIME,3
OUIIIII ENDINNNN,1
Team qui a sauté sur la notification instant🤚,1
Coucou,2
J’ai sauté sur la notif 🐉🐉🐉,1
First,5
Yes,5
Slt,4
Top 1,5
J'ai jamais appuyé sur une notiff aussi vite,1
J ai juste vu l image je sens le délire 😂😂😂,5
Toujours présente first,5
Bonne vidéo,4
LE GOAT EST DE RETOUR 🗿🐐,1
Ouiii enfin j'attendais tellement cet épisode 🎉🎉,5
COMMENT JE L’ATTENDAIS CET ÉPISODE!!! Bon visionnage à tous.tes !,5
Salut tu es le meilleur math,5
Est-ce que tu pourras faire un MSF sur les 5 légendes stp,5
First com hell yeah,5
Hhg,5
Lest go,1
Aller la vidéo va se faire déguster comme un bon steak,3
J'ai sauté sur la notification😅😅,1
De retour,1
Génial!!! Bon visionnage à tous!,5
On l’attendais cette épisode !! Bon visionnage à tous !❤,5
Enfin une nouvelle vidéo !,5
Bon visionage,4
Oh une nouvelle vidéo,5
Troppppp geniallll j’attendais trop🎉,5
Hâte de regarder la vidéo !!,1
First,5
First,5
Bonne vidéo à tous,5
Bonne vidéo,4
.,3
OUI ON L’ATTENDAIT TOUS,3
First,5
First,5
OUIIIIII ENFIN VICE VERSA 2222,3
First,5
Salut,5
Masterclass comme toujours,5
Qui a sauté sur la notif,1
FIRST,5
First,5
Ahhhhhh j’attendais que ça,3
Bon visionnage ❤,4
